symbol,min_score,max_move_pct,notes
MLM,0.75,3,
MLR,0.75,3,
MLSS,0.75,3,
MMA,0.75,3,
MMED,0.75,3,
MMM,0.75,3,
MMSI,0.75,3,
MNST,0.75,3,
MOBX,0.75,3,
MOD,0.75,3,
MODD,0.75,3,
MPTI,0.75,3,
MPWR,0.75,3,
MRAM,0.75,3,
MRK,0.75,3,
MRTN,0.75,3,
MRVL,0.75,3,
MSA,0.75,3,
MSCI,0.75,3,
MSGM,0.75,3,
MSGY,0.75,3,
MSI,0.75,3,
MSM,0.75,3,
MSTR,0.75,3,
MTA,0.75,3,
MTC,0.75,3,
MTD,0.75,3,
MTEN,0.75,3,
MTNB,0.75,3,
MTRN,0.75,3,
MTSI,0.75,3,
MTUS,0.75,3,
MTZ,0.75,3,
MU,0.75,3,
MUSA,0.75,3,
MUX,0.75,3,
MWA,0.75,3,
MWH,0.75,3,
MXC,0.75,3,
MXL,0.75,3,
MYE,0.75,3,
MYRG,0.75,3,
MZTI,0.75,3,
NAGE,0.75,3,
NAMI,0.75,3,
NAMM,0.75,3,
NATR,0.75,3,
NAVN,0.75,3,
NBIX,0.75,3,
NBTX,0.75,3,
NCEW,0.75,3,
NCNO,0.75,3,
NCSM,0.75,3,
NDSN,0.75,3,
NEGG,0.75,3,
NEM,0.75,3,
NEO,0.75,3,
NEOV,0.75,3,
NEPH,0.75,3,
NESR,0.75,3,
NEU,0.75,3,
NHC,0.75,3,
NICM,0.75,3,
NIXX,0.75,3,
NKE,0.75,3,
NKLR,0.75,3,
NLOP,0.75,3,
NMTC,0.75,3,
NN,0.75,3,
NNNN,0.75,3,
NOK,0.75,3,
NOVT,0.75,3,
NOW,0.75,3,
NPCE,0.75,3,
NPKI,0.75,3,
NPO,0.75,3,
NRC,0.75,3,
NRGV,0.75,3,
NRP,0.75,3,
NRT,0.75,3,
NRXP,0.75,3,
NRXS,0.75,3,
NSC,0.75,3,
NSSC,0.75,3,
NTAP,0.75,3,
NTCT,0.75,3,
NTIC,0.75,3,
NTNX,0.75,3,
NTRA,0.75,3,
NTRP,0.75,3,
NTSK,0.75,3,
NUE,0.75,3,
NUTX,0.75,3,
NVDA,0.75,4,earnings soon
NVO,0.75,3,
NVR,0.75,3,
NVS,0.75,3,
NVT,0.75,3,
NVTS,0.75,3,
NWPX,0.75,3,
NXL,0.75,3,
NXPI,0.75,3,
NXT,0.75,3,
OCC,0.75,3,
OCTV,0.75,3,
ODC,0.75,3,
ODFL,0.75,3,
OESX,0.75,3,
OFLX,0.75,3,
OFRM,0.75,3,
OGC,0.75,3,
OIO,0.75,3,
OIS,0.75,3,
OKTA,0.75,3,
OLB,0.75,3,
OLLI,0.75,3,
OMAB,0.75,3,
OMCL,0.75,3,
OMDA,0.75,3,
OMH,0.75,3,
ON,0.75,3,
ONC,0.75,3,
ONEG,0.75,3,
ONMD,0.75,3,
ONON,0.75,3,
OOMA,0.75,3,
OPRX,0.75,3,
OPTT,0.75,3,
OPTX,0.75,3,
OPXS,0.75,3,
OR,0.75,3,
ORBS,0.75,3,
ORCL,0.75,3,
ORGO,0.75,3,
ORIC,0.75,3,
ORLY,0.75,3,
ORN,0.75,3,
OSPN,0.75,3,
OSS,0.75,3,
OSW,0.75,3,
OVID,0.75,3,
OWLS,0.75,3,
OWLT,0.75,3,
P,0.75,3,
PAAS,0.75,3,
PANW,0.75,3,
PATH,0.75,3,
PAY,0.75,3,
PAYC,0.75,3,
PAYO,0.75,3,
PAYX,0.75,3,
PBT,0.75,3,
PBYI,0.75,3,
PCLA,0.75,3,
PCOR,0.75,3,
PDC,0.75,3,
PDEX,0.75,3,
PDFS,0.75,3,
PEGA,0.75,3,
PEN,0.75,3,
PENG,0.75,3,
PEP,0.75,3,
PESI,0.75,3,
PFAI,0.75,3,
PG,0.75,3,
PGNY,0.75,3,
PH,0.75,3,
PHAR,0.75,3,
PHM,0.75,3,
PHOE,0.75,3,
PI,0.75,3,
PKE,0.75,3,
PKG,0.75,3,
PL,0.75,3,
PLAB,0.75,3,
PLAG,0.75,3,
PLD,0.75,3,
PLOW,0.75,3,
PLPC,0.75,3,
PLTS,0.75,3,
PLUG,0.75,3,
PLUS,0.75,3,
PLX,0.75,3,
PLXS,0.75,3,
PLYX,0.75,3,
PMA,0.75,3,
PMI,0.75,3,
PNR,0.75,3,
PNRG,0.75,3,
POCI,0.75,3,
PODD,0.75,3,
POOL,0.75,3,
POWI,0.75,3,
POWL,0.75,3,
POWW,0.75,3,
PPG,0.75,3,
PPIH,0.75,3,
PPSI,0.75,3,
PR,0.75,3,
PRCT,0.75,3,
PRIM,0.75,3,
PRLB,0.75,3,
PRM,0.75,3,
PRPO,0.75,3,
PRSO,0.75,3,
PSIX,0.75,3,
PSN,0.75,3,
PSO,0.75,3,
PTC,0.75,3,
PTLE,0.75,3,
PUBM,0.75,3,
PVL,0.75,3,
PWR,0.75,3,
PXED,0.75,3,
Q,0.75,3,
QCOM,0.75,3,
QGEN,0.75,3,
QH,0.75,3,
QLYS,0.75,3,
QMCO,0.75,3,
QRVO,0.75,3,
QTI,0.75,3,
QTWO,0.75,3,
QUIK,0.75,3,
RACE,0.75,3,
RAL,0.75,3,
RAMP,0.75,3,
RBA,0.75,3,
RBC,0.75,3,
RBLX,0.75,3,
RBRK,0.75,3,
RCMT,0.75,3,
RCUS,0.75,3,
RDVT,0.75,3,
RDY,0.75,3,
REFR,0.75,3,
REGN,0.75,3,
REKR,0.75,3,
RELL,0.75,3,
RELX,0.75,3,
RELY,0.75,3,
RES,0.75,3,
REX,0.75,3,
REYN,0.75,3,
RFIL,0.75,3,
RGC,0.75,3,
RGEN,0.75,3,
RGLD,0.75,3,
RHI,0.75,3,
RIGL,0.75,3,
RIO,0.75,3,
RIOT,0.75,3,
RL,0.75,3,
RLGT,0.75,3,
RMBS,0.75,3,
RMCO,0.75,3,
RMD,0.75,3,
RMIX,0.75,3,
RNGR,0.75,3,
ROAD,0.75,3,
ROC,0.75,3,
ROG,0.75,3,
ROK,0.75,3,
ROL,0.75,3,
